molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class
CHEMBL59036,Cc1ccc(C(=O)Nc2cccc(Nc3nccc(-c4cccnc4)n3)c2)cc1,1000.0,active
CHEMBL299707,COc1ccccc1C(=O)Nc1cccc(Nc2nccc(-c3cccnc3)n2)c1,1900.0,intermediate
CHEMBL291963,c1cncc(-c2ccnc(Nc3cccc(-n4ccnc4)c3)n2)c1,3300.0,intermediate
CHEMBL292866,O=C(Nc1cccc(Nc2nccc(-c3cccnc3)n2)c1)c1ccccn1,3800.0,intermediate
CHEMBL56671,COC(=O)c1cccc(Nc2nccc(-c3cccnc3)n2)c1,5100.0,intermediate
CHEMBL55379,FC(F)C(F)(F)Oc1cccc(Nc2nccc(-c3c[nH]c4ccccc34)n2)c1,370.0,active
CHEMBL55742,O=C(O)c1ccccc1C(=O)Nc1cccc(Nc2nccc(-c3cccnc3)n2)c1,2000.0,intermediate
CHEMBL56904,CN1CCN(Cc2ccc(C(=O)Nc3cccc(Nc4nccc(-c5cccnc5)n4)c3)cc2)CC1,100.0,active
CHEMBL418270,O=C(Nc1cccc(Nc2nccc(-c3cccnc3)n2)c1)c1cccnc1,150.0,active
CHEMBL293991,NCCCn1ccc2c(-c3ccnc(Nc4cccc(OC(F)(F)C(F)F)c4)n3)cccc21,350.0,active
CHEMBL418010,COc1ccccc1C(=O)Nc1ccc(C)c(Nc2nccc(-c3cccnc3)n2)c1,800.0,active
CHEMBL56359,O=C(Nc1cccc(Nc2nccc(-c3cccnc3)n2)c1)c1cccs1,300.0,active
CHEMBL20926,Cc1ccc(NC(=O)c2ccccc2)cc1Nc1nccc(-c2cccnc2)n1,400.0,active
CHEMBL278103,Cc1ccc(N)cc1Nc1nccc(-c2cccnc2)n1,1500.0,intermediate
CHEMBL57690,c1ccc(Nc2nccc(-c3cccnc3)n2)cc1,1800.0,intermediate
CHEMBL55662,FC(F)C(F)(F)Oc1cccc(Nc2nccc(-c3ccncc3)n2)c1,100000.0,inactive
CHEMBL55592,O=C(Nc1cccc(Nc2nccc(-c3cccnc3)n2)c1)c1ccncc1,500.0,active
CHEMBL57553,Nc1cccc(Nc2nccc(-c3cccnc3)n2)c1,700.0,active
CHEMBL56081,O=[N+]([O-])c1cccc(Nc2nccc(-c3cccnc3)n2)c1,34000.0,inactive
CHEMBL58142,O=C(Nc1cccc(Nc2nccc(-c3cccnc3)n2)c1)C1CCCCC1,450.0,active
CHEMBL58580,N#Cc1ccc(C(=O)Nc2cccc(Nc3nccc(-c4cccnc4)n3)c2)cc1,1300.0,intermediate
CHEMBL332612,Nc1ccc(Nc2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)cc1,1180.0,intermediate
CHEMBL118904,O=[N+]([O-])c1cccc(-c2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)c1,10000.0,inactive
CHEMBL332333,c1ccc(Nc2nc[nH]c3nnc(Nc4ccccc4)c2-3)cc1,1960.0,intermediate
