,molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,norm_value,pIC50
851,CHEMBL1933538,O=C(c1cc2cc(F)ccc2[nH]1)N1C[C@]2(CCN(C3CCCNC3)C2)c2ccccc21,30000.0,inactive,479.5190000000001,5.4761400000000044,2.0,7.0,30000.0,4.522878745280337
852,CHEMBL1933550,O=C(c1cc2ccc(F)cc2[nH]1)N1C[C@]2(CCN(C3CCNC3)C2)c2ccccc21,30000.0,inactive,461.5290000000001,5.3370400000000044,2.0,7.0,30000.0,4.522878745280337
853,CHEMBL1933551,C[C@@H]1CCC(N2CC[C@]3(CN(C(=O)c4cc5ccccc5[nH]4)c4ccccc43)C2)CN1,30000.0,inactive,529.5260000000001,6.355840000000005,2.0,7.0,30000.0,4.522878745280337
854,CHEMBL1933552,C[C@@H]1CCC(N2CC[C@]3(CN(C(=O)c4cc5ccc(F)cc5[nH]4)c4ccccc43)C2)CN1,30000.0,inactive,532.5700000000002,4.456020000000003,1.0,6.0,30000.0,4.522878745280337
855,CHEMBL1945559,Cn1c2c(c3ccc(Cl)c(Cl)c31)C(C#N)C1(CCNCC1)NC2=O,10000.0,inactive,488.01700000000034,3.3135400000000015,3.0,9.0,10000.0,5.0
856,CHEMBL1945559,Cn1c2c(c3ccc(Cl)c(Cl)c31)C(C#N)C1(CCNCC1)NC2=O,10000.0,inactive,529.5260000000001,6.355840000000005,2.0,7.0,10000.0,5.0
857,CHEMBL1950886,CNC(=O)c1cc(Oc2ccc3nc(Nc4cccc(C(C)(C)C)c4)ncc3c2)ccn1,1000.0,active,493.6150000000002,4.590320000000004,2.0,7.0,1000.0,6.0
858,CHEMBL1950983,CNC(=O)c1cc(Oc2ccc3nc(Nc4cccc(C(C)(C)C)c4)cnc3c2)ccn1,1000.0,active,533.5580000000002,3.8510200000000028,1.0,7.0,1000.0,6.0
859,CHEMBL1950984,CNC(=O)c1cc(Oc2ccc3nc(Nc4cccc(C(C)(C)C)c4)ccc3c2)ccn1,1000.0,active,546.5970000000002,4.695020000000004,1.0,6.0,1000.0,6.0
860,CHEMBL1949788,COc1ccc(C(=O)NC[C@@H](O)CO)cc1/C=C/c1ccc(Cl)cc1,50000.0,inactive,531.5820000000002,5.289620000000005,2.0,4.0,50000.0,4.301029995663981
861,CHEMBL1949789,COc1ccc(C(=O)NC[C@H](O)CO)cc1/C=C/c1ccc(Cl)cc1,50000.0,inactive,562.5960000000002,4.693220000000005,2.0,6.0,50000.0,4.301029995663981
862,CHEMBL2017214,CSc1ccccc1Nc1nc(N2CCNCC2)nc2c(NCC3CC3)ncnc12,40000.0,inactive,608.6680000000002,6.351620000000006,2.0,5.0,40000.0,4.3979400086720375
863,CHEMBL1980297,Nc1ncc(-c2cnn(CCO)c2)c2scc(-c3ccc(NC(=O)Nc4cccc(F)c4)cc3)c12,12.0,active,572.6350000000001,5.562020000000005,2.0,5.0,12.0,7.920818753952375
864,CHEMBL460472,COc1ccc2c(Oc3ccc(NC(=O)c4c(C)n(CC(C)(C)O)n(-c5ccccc5)c4=O)nc3)ccnc2c1,1000.0,active,546.5970000000002,4.993040000000004,2.0,5.0,1000.0,6.0
